,age,latitude,longitude,genotype
96,0,61.98052,60,0
97,0,61.98052,60,1
98,0,61.98052,60,0
99,0,61.98052,60,1
100,0,61.98052,60,1
101,0,61.98052,60,0
102,0,61.98052,60,0
103,0,61.98052,60,0
104,0,61.98052,60,0
105,0,61.98052,60,0
106,0,61.98052,60,1
107,0,40.1209,9.0129,0
108,0,40.1209,9.0129,1
109,0,40.1209,9.0129,0
110,0,40.1209,9.0129,1
111,0,40.1209,9.0129,1
112,0,40.1209,9.0129,2
113,0,40.1209,9.0129,1
114,0,40.1209,9.0129,1
115,0,40.1209,9.0129,1
116,0,40.1209,9.0129,2
117,0,40.1209,9.0129,1
118,0,40.1209,9.0129,1
119,0,40.1209,9.0129,2
120,0,40.1209,9.0129,0
121,0,40.1209,9.0129,2
122,0,40.1209,9.0129,1
123,0,40.1209,9.0129,1
124,0,40.1209,9.0129,1
125,0,40.1209,9.0129,2
126,0,40.1209,9.0129,2
127,0,40.1209,9.0129,0
128,0,40.1209,9.0129,1
129,0,40.1209,9.0129,2
130,0,40.1209,9.0129,1
131,0,43.7711,11.2486,1
132,0,43.7711,11.2486,2
133,0,43.7711,11.2486,1
134,0,43.7711,11.2486,1
135,0,43.7711,11.2486,1
136,0,43.7711,11.2486,1
137,9900,34.18,48.17,0
138,9931,34.18,48.17,0
139,9930,34.18,48.17,0
140,9219,34.06,46.65,0
141,8092,40.3,29.57,0
142,8097,40.3,29.57,0
143,8086,40.3,29.57,0
144,8300,40.3,29.57,0
145,8273,40.3,29.57,0
146,8251,40.3,29.57,0
147,7930,40.3,29.57,0
148,8300,40.3,29.57,0
149,8288,40.3,29.57,0
150,8288,40.3,29.57,0
151,8300,40.3,29.57,0
152,8300,40.3,29.57,0
153,8300,40.3,29.57,0
154,8300,40.3,29.57,0
155,8195,40.3,29.57,0
156,8254,40.3,29.57,0
157,8281,40.3,29.57,0
158,8300,40.3,29.57,0
159,8279,40.3,29.57,0
160,8071,40.3,29.57,0
161,10078,37.75,32.86,0
162,8505,38.17,34.49,0
163,8295,38.17,34.49,0
164,4700,38.629306,34.297718,2
165,4700,38.629306,34.297718,0
166,3800,39.345805,33.78813,2
167,3800,39.345805,33.78813,0
168,4377,37.92,30.71,0
169,4604,37.92,30.71,0
170,4494,37.92,30.71,0
171,37470,51.4,39.03,0
172,32823,56.18,40.51,0
173,34234,56.18,40.51,0
174,34093,56.18,40.51,0
175,33992,56.18,40.51,0
176,18720,43.26,-3.45,0
177,13980,46.15,12.21,0
178,13665,47.01,6.79,0
179,13665,47.01,6.79,0
180,9118,42.97,16.71,0
181,10085,47.01,5.43,0
182,7815,42.93,-5.35,0
183,8050,49.7,6.24,0
184,7660,47.93,21.2,0
185,9364,58.832937,6.328125,0
186,5857,67.755765,14.848284,0
187,8895,57.468412,18.486745,0
188,7569,58.54,15.05,0
189,7595,58.54,15.05,0
190,7751,58.54,15.05,0
191,7703,58.54,15.05,0
192,7747,58.54,15.05,0
193,7626,58.54,15.05,0
194,6335,55.767926,22.417098,0
195,8308,57.776,25.226,0
196,7689,57.776,25.226,0
197,7027,57.776,25.226,0
198,8280,61.65,35.65,0
199,7549,53.4,50.4,0
200,8280,61.65,35.65,0
201,5250,62.04643591,35.36377635,0
202,8280,61.65,35.65,0
203,6381,47.43,35.26,0
204,8301,40.27,22.48,0
205,6351,40.51,22.5,0
206,6063,40.43,21.86,0
207,7359,36.64,22.38,0
208,7590,47.32,21.53,0
209,7139,47.88,21.19,0
210,7124,47.52,21.59,2
211,7060,48.52,21.17,0
212,7061,47.88,21.19,0
213,7050,47.17,20.83,2
214,7052,47.17,19.83,0
215,6374,47.17,19.83,0
216,7139,47.88,21.19,0
217,7140,48.84,9.22,0
218,7125,48.78,9.18,0
219,7125,48.78,9.18,0
220,7125,48.78,9.18,0
221,7072,51.66,11.53,0
222,7061,51.89,11.04,0
223,7125,51.28,11.65,0
224,5173,51.42,11.68,2
225,5541,51.79,11.14,0
226,4309,51.45,11.63,0
227,6349,50.1217475,14.4569508,0
228,6378,50.1217475,14.4569508,0
229,7215,42.5,0.5,0
230,7130,42.5,0.5,0
231,7144,42.5,0.5,0
232,7139,42.5,0.5,0
233,7348,41.37,1.88,2
234,7136,42.3525,-3.518333333,0
235,5700,41.25,-2.33,0
236,5700,41.25,-2.33,0
237,5700,41.25,-2.33,0
238,5727,41.25,-2.33,0
239,5950,39.415342,-8.82157,0
240,5950,39.415342,-8.82157,0
241,5666,42.306605,0.364461,0
242,5650,36.984167,-4.695278,0
243,6639,43.457,5.863,0
244,6672,43.457,5.863,2
245,5065,51.49275,-0.665402,0
246,5389,55.4,-5.2,0
247,5383,56.41,-5.471,0
248,5620,56.41,-5.471,0
249,5652,56.41,-5.471,2
250,5380,59.35,-2.873,0
251,5390,59.35,-2.873,0
252,5160,59.35,-2.873,0
253,5375,59.35,-2.873,0
254,4472,58.74,-2.916,0
255,4409,58.74,-2.916,2
256,4898,58.74,-2.916,2
257,5130,58.74,-2.916,0
258,5123,58.74,-2.916,0
259,5132,58.74,-2.916,0
260,4836,58.74,-2.916,2
261,5087,58.74,-2.916,0
262,5129,58.74,-2.916,0
263,5816,56.42,-5.472,0
264,5181,59.3101,-2.940715,0
265,4952,59.23,-2.568,0
266,5455,56.4033333,-5.478056,2
267,5456,56.4033333,-5.478056,0
268,5463,56.4033333,-5.478056,0
